date,province,salinity_ppt,salinity_daily,ph
2024-02-29,Soc Trang,5.84,5.84,
2024-03-01,Bac Lieu,6.33,6.33,
2024-03-01,Ben Tre,5.58,5.58,
2024-03-01,Ca Mau,7.36,7.36,
2024-03-01,Kien Giang,5.06,5.06,
2024-03-01,Soc Trang,6.04,6.04,
2024-03-02,Bac Lieu,6.62,6.62,
2024-03-02,Ben Tre,5.39,5.39,
2024-03-02,Ca Mau,7.14,7.14,
2024-03-02,Kien Giang,4.56,4.56,
2024-03-02,Soc Trang,5.9,5.9,
2024-03-03,Bac Lieu,6.85,6.85,
2024-03-03,Ben Tre,5.57,5.57,
2024-03-03,Ca Mau,6.78,6.78,
2024-03-03,Kien Giang,4.53,4.53,
2024-03-03,Soc Trang,5.89,5.89,
2024-03-04,Bac Lieu,6.26,6.26,
2024-03-04,Ben Tre,5.38,5.38,
2024-03-04,Ca Mau,7.01,7.01,
2024-03-04,Kien Giang,4.83,4.83,
2024-03-04,Soc Trang,6.01,6.01,
2024-03-05,Bac Lieu,6.11,6.11,
2024-03-05,Ben Tre,5.55,5.55,
2024-03-05,Ca Mau,6.92,6.92,
2024-03-05,Kien Giang,4.74,4.74,
2024-03-05,Soc Trang,6.01,6.01,
2024-03-06,Bac Lieu,6.27,6.27,
2024-03-06,Ben Tre,5.49,5.49,
2024-03-06,Ca Mau,7.08,7.08,
2024-03-06,Kien Giang,4.86,4.86,
2024-03-06,Soc Trang,5.75,5.75,
2024-03-07,Bac Lieu,6.3,6.3,
2024-03-07,Ben Tre,5.68,5.68,
2024-03-07,Ca Mau,7.2,7.2,
2024-03-07,Kien Giang,5.23,5.23,
2024-03-07,Soc Trang,5.42,5.42,
2024-03-08,Bac Lieu,5.99,5.99,
2024-03-08,Ben Tre,5.71,5.71,
2024-03-08,Ca Mau,7.6,7.6,
2024-03-08,Kien Giang,4.73,4.73,
2024-03-08,Soc Trang,5.65,5.65,
2024-03-09,Bac Lieu,6.5,6.5,
2024-03-09,Ben Tre,5.03,5.03,
2024-03-09,Ca Mau,6.85,6.85,
2024-03-09,Kien Giang,4.5,4.5,
2024-03-09,Soc Trang,5.49,5.49,
2024-03-10,Bac Lieu,6.68,6.68,
2024-03-10,Ben Tre,5.63,5.63,
2024-03-10,Ca Mau,7.14,7.14,
2024-03-10,Kien Giang,4.54,4.54,
2024-03-10,Soc Trang,5.99,5.99,
2024-03-11,Bac Lieu,6.15,6.15,
2024-03-11,Ben Tre,5.44,5.44,
2024-03-11,Ca Mau,7.06,7.06,
2024-03-11,Kien Giang,4.87,4.87,
2024-03-11,Soc Trang,5.62,5.62,
2024-03-12,Bac Lieu,6.44,6.44,
2024-03-12,Ben Tre,5.31,5.31,
2024-03-12,Ca Mau,6.91,6.91,
2024-03-12,Kien Giang,4.67,4.67,
2024-03-12,Soc Trang,5.93,5.93,
2024-03-13,Bac Lieu,6.01,6.01,
2024-03-13,Ben Tre,5.18,5.18,
2024-03-13,Ca Mau,6.7,6.7,
2024-03-13,Kien Giang,4.55,4.55,
2024-03-13,Soc Trang,5.56,5.56,
2024-03-14,Bac Lieu,6.5,6.5,
2024-03-14,Ben Tre,5.41,5.41,
2024-03-14,Ca Mau,7.21,7.21,
2024-03-14,Kien Giang,5.16,5.16,
2024-03-14,Soc Trang,5.99,5.99,
2024-03-15,Bac Lieu,6.48,6.48,
2024-03-15,Ben Tre,5.09,5.09,
2024-03-15,Ca Mau,6.79,6.79,
2024-03-15,Kien Giang,4.84,4.84,
2024-03-15,Soc Trang,5.51,5.51,
2024-03-16,Bac Lieu,5.85,5.85,
2024-03-16,Ben Tre,5.58,5.58,
2024-03-16,Ca Mau,6.81,6.81,
2024-03-16,Kien Giang,5.11,5.11,
2024-03-16,Soc Trang,5.56,5.56,
2024-03-17,Bac Lieu,6.54,6.54,
2024-03-17,Ben Tre,5.08,5.08,
2024-03-17,Ca Mau,7.18,7.18,
2024-03-17,Kien Giang,4.87,4.87,
2024-03-17,Soc Trang,5.12,5.12,
2024-03-18,Bac Lieu,6.38,6.38,
2024-03-18,Ben Tre,5.11,5.11,
2024-03-18,Ca Mau,7.08,7.08,
2024-03-18,Kien Giang,4.4,4.4,
2024-03-18,Soc Trang,5.91,5.91,
2024-03-19,Bac Lieu,6.06,6.06,
2024-03-19,Ben Tre,5.34,5.34,
2024-03-19,Ca Mau,6.42,6.42,
2024-03-19,Kien Giang,5.35,5.35,
2024-03-19,Soc Trang,6.07,6.07,
2024-03-20,Bac Lieu,6.6,6.6,
2024-03-20,Ben Tre,5.19,5.19,
2024-03-20,Ca Mau,6.94,6.94,
2024-03-20,Kien Giang,4.63,4.63,
2024-03-20,Soc Trang,5.76,5.76,
2024-03-21,Bac Lieu,5.94,5.94,
2024-03-21,Ben Tre,5.05,5.05,
2024-03-21,Ca Mau,6.66,6.66,
2024-03-21,Kien Giang,4.44,4.44,
2024-03-21,Soc Trang,5.24,5.24,
2024-03-22,Bac Lieu,5.8,5.8,
2024-03-22,Ben Tre,4.93,4.93,
2024-03-22,Ca Mau,6.9,6.9,
2024-03-22,Kien Giang,4.15,4.15,
2024-03-22,Soc Trang,5.48,5.48,
2024-03-23,Bac Lieu,6.18,6.18,
2024-03-23,Ben Tre,5.04,5.04,
2024-03-23,Ca Mau,6.55,6.55,
2024-03-23,Kien Giang,4.87,4.87,
2024-03-23,Soc Trang,5.63,5.63,
2024-03-24,Bac Lieu,6.17,6.17,
2024-03-24,Ben Tre,5.0,5.0,
2024-03-24,Ca Mau,6.6,6.6,
2024-03-24,Kien Giang,4.6,4.6,
2024-03-24,Soc Trang,5.22,5.22,
2024-03-25,Bac Lieu,5.77,5.77,
2024-03-25,Ben Tre,5.17,5.17,
2024-03-25,Ca Mau,6.77,6.77,
2024-03-25,Kien Giang,4.18,4.18,
2024-03-25,Soc Trang,5.18,5.18,
2024-03-26,Bac Lieu,5.98,5.98,
2024-03-26,Ben Tre,5.57,5.57,
2024-03-26,Ca Mau,6.6,6.6,
2024-03-26,Kien Giang,4.77,4.77,
2024-03-26,Soc Trang,5.37,5.37,
2024-03-27,Bac Lieu,6.08,6.08,
2024-03-27,Ben Tre,4.84,4.84,
2024-03-27,Ca Mau,6.71,6.71,
2024-03-27,Kien Giang,4.48,4.48,
2024-03-27,Soc Trang,5.27,5.27,
2024-03-28,Bac Lieu,6.33,6.33,
2024-03-28,Ben Tre,4.57,4.57,
2024-03-28,Ca Mau,6.48,6.48,
2024-03-28,Kien Giang,4.34,4.34,
2024-03-28,Soc Trang,5.24,5.24,
2024-03-29,Bac Lieu,5.9,5.9,
2024-03-29,Ben Tre,5.11,5.11,
2024-03-29,Ca Mau,6.76,6.76,
2024-03-29,Kien Giang,4.35,4.35,
2024-03-29,Soc Trang,5.55,5.55,
2024-03-30,Bac Lieu,6.11,6.11,
2024-03-30,Ben Tre,5.31,5.31,
2024-03-30,Ca Mau,6.24,6.24,
2024-03-30,Kien Giang,4.34,4.34,
2024-03-30,Soc Trang,5.34,5.34,
2024-03-31,Bac Lieu,5.84,5.84,
2024-03-31,Ben Tre,5.14,5.14,
2024-03-31,Ca Mau,5.98,5.98,
2024-03-31,Kien Giang,4.06,4.06,
2024-03-31,Soc Trang,5.08,5.08,
2024-04-01,Bac Lieu,5.97,5.97,
2024-04-01,Ben Tre,5.01,5.01,
2024-04-01,Ca Mau,6.25,6.25,
2024-04-01,Kien Giang,4.04,4.04,
2024-04-01,Soc Trang,5.11,5.11,
2024-04-02,Bac Lieu,6.23,6.23,
2024-04-02,Ben Tre,4.83,4.83,
2024-04-02,Ca Mau,6.43,6.43,
2024-04-02,Kien Giang,4.5,4.5,
2024-04-02,Soc Trang,4.7,4.7,
2024-04-03,Bac Lieu,14.6175,14.6175,
2024-04-03,Ben Tre,10.682142857142855,10.682142857142855,
2024-04-03,Ca Mau,19.103333333333335,19.103333333333335,
2024-04-03,Kien Giang,8.709999999999999,8.709999999999999,
2024-04-03,Soc Trang,5.790000000000001,5.790000000000001,
2024-04-04,Bac Lieu,5.97,5.97,
2024-04-04,Ben Tre,4.76,4.76,
2024-04-04,Ca Mau,6.48,6.48,
2024-04-04,Kien Giang,3.96,3.96,
2024-04-04,Soc Trang,5.07,5.07,
2024-04-05,Bac Lieu,4.94,4.94,
2024-04-05,Ben Tre,4.84,4.84,
2024-04-05,Ca Mau,6.13,6.13,
2024-04-05,Kien Giang,4.37,4.37,
2024-04-05,Soc Trang,4.95,4.95,
2024-04-06,Bac Lieu,5.95,5.95,
2024-04-06,Ben Tre,4.39,4.39,
2024-04-06,Ca Mau,6.29,6.29,
2024-04-06,Kien Giang,4.37,4.37,
2024-04-06,Soc Trang,5.3,5.3,
2024-04-07,Bac Lieu,5.91,5.91,
2024-04-07,Ben Tre,5.05,5.05,
2024-04-07,Ca Mau,6.38,6.38,
2024-04-07,Kien Giang,4.4,4.4,
2024-04-07,Soc Trang,5.39,5.39,
2024-04-08,Bac Lieu,5.79,5.79,
2024-04-08,Ben Tre,4.47,4.47,
2024-04-08,Ca Mau,5.98,5.98,
2024-04-08,Kien Giang,4.86,4.86,
2024-04-08,Soc Trang,5.03,5.03,
2024-04-09,Bac Lieu,5.32,5.32,
2024-04-09,Ben Tre,4.74,4.74,
2024-04-09,Ca Mau,6.08,6.08,
2024-04-09,Kien Giang,3.88,3.88,
2024-04-09,Soc Trang,5.07,5.07,
2024-04-10,Bac Lieu,5.2,5.2,
2024-04-10,Ben Tre,4.84,4.84,
2024-04-10,Ca Mau,5.63,5.63,
2024-04-10,Kien Giang,4.16,4.16,
2024-04-10,Soc Trang,4.87,4.87,
2024-04-11,Bac Lieu,5.39,5.39,
2024-04-11,Ben Tre,4.28,4.28,
2024-04-11,Ca Mau,6.4,6.4,
2024-04-11,Kien Giang,3.95,3.95,
2024-04-11,Soc Trang,5.01,5.01,
2024-04-12,Bac Lieu,5.12,5.12,
2024-04-12,Ben Tre,4.32,4.32,
2024-04-12,Ca Mau,6.42,6.42,
2024-04-12,Kien Giang,3.57,3.57,
2024-04-12,Soc Trang,4.61,4.61,
2024-04-13,Bac Lieu,5.23,5.23,
2024-04-13,Ben Tre,4.04,4.04,
2024-04-13,Ca Mau,6.07,6.07,
2024-04-13,Kien Giang,3.93,3.93,
2024-04-13,Soc Trang,4.57,4.57,
2024-04-14,Bac Lieu,5.18,5.18,
2024-04-14,Ben Tre,4.34,4.34,
2024-04-14,Ca Mau,5.78,5.78,
2024-04-14,Kien Giang,3.59,3.59,
2024-04-14,Soc Trang,5.09,5.09,
2024-04-15,Bac Lieu,4.51,4.51,
2024-04-15,Ben Tre,4.31,4.31,
2024-04-15,Ca Mau,6.16,6.16,
2024-04-15,Kien Giang,3.82,3.82,
2024-04-15,Soc Trang,4.89,4.89,
2024-04-16,Bac Lieu,4.91,4.91,
2024-04-16,Ben Tre,3.72,3.72,
2024-04-16,Ca Mau,5.16,5.16,
2024-04-16,Kien Giang,3.84,3.84,
2024-04-16,Soc Trang,4.58,4.58,
2024-04-17,Bac Lieu,5.42,5.42,
2024-04-17,Ben Tre,3.83,3.83,
2024-04-17,Ca Mau,5.23,5.23,
2024-04-17,Kien Giang,3.48,3.48,
2024-04-17,Soc Trang,4.76,4.76,
2024-04-18,Bac Lieu,5.52,5.52,
2024-04-18,Ben Tre,3.92,3.92,
2024-04-18,Ca Mau,6.07,6.07,
2024-04-18,Kien Giang,3.8,3.8,
2024-04-18,Soc Trang,4.82,4.82,
2024-04-19,Bac Lieu,5.2,5.2,
2024-04-19,Ben Tre,3.95,3.95,
2024-04-19,Ca Mau,5.51,5.51,
2024-04-19,Kien Giang,3.95,3.95,
2024-04-19,Soc Trang,4.95,4.95,
2024-04-20,Bac Lieu,4.67,4.67,
2024-04-20,Ben Tre,4.04,4.04,
2024-04-20,Ca Mau,5.4,5.4,
2024-04-20,Kien Giang,3.8,3.8,
2024-04-20,Soc Trang,4.45,4.45,
2024-04-21,Bac Lieu,4.83,4.83,
2024-04-21,Ben Tre,4.24,4.24,
2024-04-21,Ca Mau,5.26,5.26,
2024-04-21,Kien Giang,3.69,3.69,
2024-04-21,Soc Trang,4.59,4.59,
2024-04-22,Bac Lieu,4.82,4.82,
2024-04-22,Ben Tre,4.61,4.61,
2024-04-22,Ca Mau,5.07,5.07,
2024-04-22,Kien Giang,3.8,3.8,
2024-04-22,Soc Trang,4.07,4.07,
2024-04-23,Bac Lieu,4.73,4.73,
2024-04-23,Ben Tre,4.3,4.3,
2024-04-23,Ca Mau,5.67,5.67,
2024-04-23,Kien Giang,2.94,2.94,
2024-04-23,Soc Trang,4.13,4.13,
2024-04-24,Bac Lieu,4.11,4.11,
2024-04-24,Ben Tre,3.64,3.64,
2024-04-24,Ca Mau,5.24,5.24,
2024-04-24,Kien Giang,3.53,3.53,
2024-04-24,Soc Trang,4.03,4.03,
2024-04-25,Bac Lieu,4.07,4.07,
2024-04-25,Ben Tre,3.79,3.79,
2024-04-25,Ca Mau,5.09,5.09,
2024-04-25,Kien Giang,3.34,3.34,
2024-04-25,Soc Trang,3.81,3.81,
2024-04-26,Bac Lieu,4.75,4.75,
2024-04-26,Ben Tre,3.71,3.71,
2024-04-26,Ca Mau,5.21,5.21,
2024-04-26,Kien Giang,3.67,3.67,
2024-04-26,Soc Trang,3.7,3.7,
2024-04-27,Bac Lieu,4.67,4.67,
2024-04-27,Ben Tre,3.82,3.82,
2024-04-27,Ca Mau,5.05,5.05,
2024-04-27,Kien Giang,3.33,3.33,
2024-04-27,Soc Trang,4.41,4.41,
2024-04-28,Bac Lieu,4.02,4.02,
2024-04-28,Ben Tre,3.69,3.69,
2024-04-28,Ca Mau,4.87,4.87,
2024-04-28,Kien Giang,3.53,3.53,
2024-04-28,Soc Trang,4.35,4.35,
2024-04-29,Bac Lieu,4.2,4.2,
2024-04-29,Ben Tre,3.34,3.34,
2024-04-29,Ca Mau,5.02,5.02,
2024-04-29,Kien Giang,3.4,3.4,
2024-04-29,Soc Trang,3.97,3.97,
