date,province,salinity_ppt
2024-06-12,Bac Lieu,1.25
2024-06-13,Bac Lieu,1.39
2024-06-14,Bac Lieu,1.34
2024-06-15,Bac Lieu,0.93
2024-06-16,Bac Lieu,1.24
2024-06-17,Bac Lieu,0.7
2024-06-18,Bac Lieu,1.24
2024-06-19,Bac Lieu,1.16
2024-06-20,Bac Lieu,1.39
2024-06-21,Bac Lieu,1.26
2024-06-22,Bac Lieu,1.18
2024-06-23,Bac Lieu,1.03
2024-06-24,Bac Lieu,0.65
2024-06-25,Bac Lieu,1.15
2024-06-26,Bac Lieu,0.44
2024-06-27,Bac Lieu,1.55
2024-06-28,Bac Lieu,1.01
2024-06-29,Bac Lieu,1.37
2024-06-30,Bac Lieu,1.01
2024-07-01,Bac Lieu,1.53
2024-07-02,Bac Lieu,0.63
2024-07-03,Bac Lieu,1.43
2024-07-04,Bac Lieu,1.66
2024-07-05,Bac Lieu,0.97
2024-07-06,Bac Lieu,1.2
2024-07-07,Bac Lieu,1.3
2024-07-08,Bac Lieu,1.49
2024-07-09,Bac Lieu,1.04
2024-07-10,Bac Lieu,0.79
2024-07-11,Bac Lieu,0.88
2024-07-12,Bac Lieu,0.96
2024-07-13,Bac Lieu,1.11
2024-07-14,Bac Lieu,0.98
2024-07-15,Bac Lieu,1.31
2024-07-16,Bac Lieu,1.12
2024-07-17,Bac Lieu,1.13
2024-07-18,Bac Lieu,0.85
2024-07-19,Bac Lieu,0.82
2024-07-20,Bac Lieu,1.53
2024-07-21,Bac Lieu,0.99
2024-07-22,Bac Lieu,0.87
2024-07-23,Bac Lieu,0.91
2024-07-24,Bac Lieu,1.28
2024-07-25,Bac Lieu,0.95
2024-07-26,Bac Lieu,1.1
2024-07-27,Bac Lieu,1.12
2024-07-28,Bac Lieu,1.33
2024-07-29,Bac Lieu,1.32
2024-07-30,Bac Lieu,0.51
2024-07-31,Bac Lieu,1.31
2024-08-01,Bac Lieu,1.13
2024-08-02,Bac Lieu,0.97
2024-08-03,Bac Lieu,0.95
2024-08-04,Bac Lieu,1.18
2024-08-05,Bac Lieu,1.33
2024-08-06,Bac Lieu,0.88
2024-08-07,Bac Lieu,1.39
2024-08-08,Bac Lieu,0.77
2024-08-09,Bac Lieu,0.97
2024-08-10,Bac Lieu,0.8
2024-08-11,Bac Lieu,0.94
2024-08-12,Bac Lieu,0.91
2024-08-13,Bac Lieu,1.2
2024-08-14,Bac Lieu,1.18
2024-08-15,Bac Lieu,1.43
2024-08-16,Bac Lieu,0.92
2024-08-17,Bac Lieu,1.18
2024-08-18,Bac Lieu,1.3
2024-08-19,Bac Lieu,0.94
2024-08-20,Bac Lieu,0.79
2024-08-21,Bac Lieu,0.82
2024-08-22,Bac Lieu,0.76
2024-08-23,Bac Lieu,0.8
2024-08-24,Bac Lieu,1.08
2024-08-25,Bac Lieu,1.23
2024-08-26,Bac Lieu,1.05
2024-08-27,Bac Lieu,0.63
2024-08-28,Bac Lieu,0.6
2024-08-29,Bac Lieu,0.7
2024-08-30,Bac Lieu,0.9
2024-08-31,Bac Lieu,1.25
2024-09-01,Bac Lieu,1.6
2024-09-02,Bac Lieu,0.67
2024-09-03,Bac Lieu,1.76
2024-09-04,Bac Lieu,1.05
2024-09-05,Bac Lieu,1.21
2024-09-06,Bac Lieu,1.29
2024-09-07,Bac Lieu,1.11
2024-09-08,Bac Lieu,0.96
2024-09-09,Bac Lieu,0.85
2024-09-10,Bac Lieu,1.15
2024-09-11,Bac Lieu,1.36
2024-09-12,Bac Lieu,1.03
2024-09-13,Bac Lieu,1.52
2024-09-14,Bac Lieu,1.0
2024-09-15,Bac Lieu,1.3
2024-09-16,Bac Lieu,1.01
2024-09-17,Bac Lieu,1.2
2024-09-18,Bac Lieu,0.92
2024-09-19,Bac Lieu,1.09
2024-09-20,Bac Lieu,1.04
2024-09-21,Bac Lieu,1.05
2024-09-22,Bac Lieu,1.44
2024-09-23,Bac Lieu,0.92
2024-09-24,Bac Lieu,1.02
2024-09-25,Bac Lieu,1.07
2024-09-26,Bac Lieu,1.28
2024-09-27,Bac Lieu,1.16
2024-09-28,Bac Lieu,1.05
2024-09-29,Bac Lieu,0.72
2024-09-30,Bac Lieu,1.04
2024-10-01,Bac Lieu,0.79
2024-10-02,Bac Lieu,1.21
2024-10-03,Bac Lieu,1.58
2024-10-04,Bac Lieu,1.05
2024-10-05,Bac Lieu,1.32
2024-10-06,Bac Lieu,1.23
2024-10-07,Bac Lieu,1.28
2024-10-08,Bac Lieu,1.06
2024-10-09,Bac Lieu,1.22
2024-10-10,Bac Lieu,1.24
2024-10-11,Bac Lieu,1.03
2024-10-12,Bac Lieu,0.64
2024-10-13,Bac Lieu,1.42
2024-10-14,Bac Lieu,0.81
2024-10-15,Bac Lieu,0.98
2024-10-16,Bac Lieu,1.38
2024-10-17,Bac Lieu,1.27
2024-10-18,Bac Lieu,0.95
2024-10-19,Bac Lieu,1.12
2024-10-20,Bac Lieu,1.15
2024-10-21,Bac Lieu,1.46
2024-10-22,Bac Lieu,1.29
2024-10-23,Bac Lieu,0.74
2024-10-24,Bac Lieu,1.09
2024-10-25,Bac Lieu,1.13
2024-10-26,Bac Lieu,0.48
2024-10-27,Bac Lieu,1.5
2024-10-28,Bac Lieu,0.88
2024-10-29,Bac Lieu,0.86
2024-10-30,Bac Lieu,0.49
2024-10-31,Bac Lieu,1.22
2024-11-01,Bac Lieu,0.76
2024-11-02,Bac Lieu,1.08
2024-11-03,Bac Lieu,1.5
2024-11-04,Bac Lieu,1.39
2024-11-05,Bac Lieu,1.13
2024-11-06,Bac Lieu,1.37
2024-11-07,Bac Lieu,0.97
2024-11-08,Bac Lieu,0.64
2024-11-09,Bac Lieu,1.35
2024-11-10,Bac Lieu,1.36
2024-11-11,Bac Lieu,0.74
2024-11-12,Bac Lieu,1.05
2024-11-13,Bac Lieu,0.91
2024-11-14,Bac Lieu,1.02
2024-11-15,Bac Lieu,1.28
2024-11-16,Bac Lieu,1.16
2024-11-17,Bac Lieu,0.92
2024-11-18,Bac Lieu,1.25
2024-11-19,Bac Lieu,1.4
2024-11-20,Bac Lieu,1.52
2024-11-21,Bac Lieu,1.94
2024-11-22,Bac Lieu,1.87
2024-11-23,Bac Lieu,1.53
2024-11-24,Bac Lieu,1.61
2024-11-25,Bac Lieu,1.61
2024-11-26,Bac Lieu,1.76
2024-11-27,Bac Lieu,1.8
2024-11-28,Bac Lieu,1.81
2024-11-29,Bac Lieu,2.12
2024-11-30,Bac Lieu,2.28
2024-12-01,Bac Lieu,2.13
2024-12-02,Bac Lieu,2.12
2024-12-03,Bac Lieu,2.94
2024-12-04,Bac Lieu,2.4
2024-12-05,Bac Lieu,2.81
2024-12-06,Bac Lieu,2.84
2024-12-07,Bac Lieu,2.56
2024-12-08,Bac Lieu,3.04
2024-12-09,Bac Lieu,3.06
2024-12-10,Bac Lieu,3.19
2024-12-11,Bac Lieu,3.3
2024-12-12,Bac Lieu,2.95
2024-12-13,Bac Lieu,2.71
2024-12-14,Bac Lieu,3.48
2024-12-15,Bac Lieu,3.18
2024-12-16,Bac Lieu,3.27
2024-12-17,Bac Lieu,3.6
2024-12-18,Bac Lieu,3.1
2024-12-19,Bac Lieu,3.47
2024-12-20,Bac Lieu,3.61
2024-12-21,Bac Lieu,3.94
2024-12-22,Bac Lieu,3.55
2024-12-23,Bac Lieu,3.95
2024-12-24,Bac Lieu,3.34
2024-12-25,Bac Lieu,3.62
2024-12-26,Bac Lieu,4.34
2024-12-27,Bac Lieu,3.94
2024-12-28,Bac Lieu,3.87
2024-12-29,Bac Lieu,4.7
2024-12-30,Bac Lieu,4.29
2024-01-01,Ben Tre,3.36
2024-01-02,Ben Tre,3.56
2024-01-03,Ben Tre,3.85
2024-01-04,Ben Tre,4.07
2024-01-05,Ben Tre,4.0
2024-01-06,Ben Tre,3.72
2024-01-07,Ben Tre,4.2
2024-01-08,Ben Tre,3.93
2024-01-09,Ben Tre,4.68
2024-01-10,Ben Tre,4.12
2024-01-11,Ben Tre,4.06
2024-01-12,Ben Tre,4.14
2024-01-13,Ben Tre,4.73
2024-01-14,Ben Tre,4.15
2024-01-15,Ben Tre,4.03
2024-01-16,Ben Tre,4.25
2024-01-17,Ben Tre,4.62
2024-01-18,Ben Tre,4.46
2024-01-19,Ben Tre,5.22
2024-01-20,Ben Tre,4.59
2024-01-21,Ben Tre,4.71
2024-01-22,Ben Tre,4.71
2024-01-23,Ben Tre,4.82
2024-01-24,Ben Tre,4.75
2024-01-25,Ben Tre,5.17
2024-01-26,Ben Tre,4.83
2024-01-27,Ben Tre,4.58
2024-01-28,Ben Tre,4.97
2024-01-29,Ben Tre,5.05
2024-01-30,Ben Tre,4.86
2024-01-31,Ben Tre,5.28
2024-02-01,Ben Tre,5.48
2024-02-02,Ben Tre,5.11
2024-02-03,Ben Tre,5.23
2024-02-04,Ben Tre,5.12
2024-02-05,Ben Tre,5.81
2024-02-06,Ben Tre,5.26
2024-02-07,Ben Tre,5.66
2024-02-08,Ben Tre,5.09
2024-02-09,Ben Tre,5.23
2024-02-10,Ben Tre,5.27
2024-02-11,Ben Tre,5.3
2024-02-12,Ben Tre,5.1
2024-02-13,Ben Tre,5.24
2024-02-14,Ben Tre,5.1
2024-02-15,Ben Tre,5.56
2024-02-16,Ben Tre,5.56
2024-02-17,Ben Tre,5.57
2024-02-18,Ben Tre,5.3
2024-02-19,Ben Tre,5.37
2024-02-20,Ben Tre,5.69
2024-02-21,Ben Tre,5.61
2024-02-22,Ben Tre,5.73
2024-02-23,Ben Tre,5.64
2024-02-24,Ben Tre,5.58
2024-02-25,Ben Tre,5.39
2024-02-26,Ben Tre,5.71
2024-02-27,Ben Tre,5.5
2024-02-28,Ben Tre,5.64
2024-02-29,Ben Tre,5.52
2024-03-01,Ben Tre,5.58
2024-03-02,Ben Tre,5.39
2024-03-03,Ben Tre,5.57
2024-03-04,Ben Tre,5.38
2024-03-05,Ben Tre,5.55
2024-03-06,Ben Tre,5.49
2024-03-07,Ben Tre,5.68
2024-03-08,Ben Tre,5.71
2024-03-09,Ben Tre,5.03
2024-03-10,Ben Tre,5.63
2024-03-11,Ben Tre,5.44
2024-03-12,Ben Tre,5.31
2024-03-13,Ben Tre,5.18
2024-03-14,Ben Tre,5.41
2024-03-15,Ben Tre,5.09
2024-03-16,Ben Tre,5.58
2024-03-17,Ben Tre,5.08
2024-03-18,Ben Tre,5.11
2024-03-19,Ben Tre,5.34
2024-03-20,Ben Tre,5.19
2024-03-21,Ben Tre,5.05
2024-03-22,Ben Tre,4.93
2024-03-23,Ben Tre,5.04
2024-03-24,Ben Tre,5.0
2024-03-25,Ben Tre,5.17
2024-03-26,Ben Tre,5.57
2024-03-27,Ben Tre,4.84
2024-03-28,Ben Tre,4.57
2024-03-29,Ben Tre,5.11
2024-03-30,Ben Tre,5.31
2024-03-31,Ben Tre,5.14
2024-04-01,Ben Tre,5.01
2024-04-02,Ben Tre,4.83
2024-04-03,Ben Tre,10.682142857142857
2024-04-04,Ben Tre,4.76
2024-04-05,Ben Tre,4.84
2024-04-06,Ben Tre,4.39
2024-04-07,Ben Tre,5.05
2024-04-08,Ben Tre,4.47
2024-04-09,Ben Tre,4.74
2024-04-10,Ben Tre,4.84
2024-04-11,Ben Tre,4.28
2024-04-12,Ben Tre,4.32
2024-04-13,Ben Tre,4.04
2024-04-14,Ben Tre,4.34
2024-04-15,Ben Tre,4.31
2024-04-16,Ben Tre,3.72
2024-04-17,Ben Tre,3.83
2024-04-18,Ben Tre,3.92
2024-04-19,Ben Tre,3.95
2024-04-20,Ben Tre,4.04
2024-04-21,Ben Tre,4.24
2024-04-22,Ben Tre,4.61
2024-04-23,Ben Tre,4.3
2024-04-24,Ben Tre,3.64
2024-04-25,Ben Tre,3.79
2024-04-26,Ben Tre,3.71
2024-04-27,Ben Tre,3.82
2024-04-28,Ben Tre,3.69
2024-04-29,Ben Tre,3.34
2024-04-30,Ben Tre,3.66
2024-05-01,Ben Tre,3.6
2024-05-02,Ben Tre,3.46
2024-05-03,Ben Tre,3.25
2024-05-04,Ben Tre,3.31
2024-05-05,Ben Tre,3.37
2024-05-06,Ben Tre,3.13
2024-05-07,Ben Tre,3.58
2024-05-08,Ben Tre,3.68
2024-05-09,Ben Tre,3.36
2024-05-10,Ben Tre,2.57
2024-05-11,Ben Tre,2.71
2024-05-12,Ben Tre,2.69
2024-05-13,Ben Tre,2.87
2024-05-14,Ben Tre,2.78
2024-05-15,Ben Tre,2.39
2024-05-16,Ben Tre,2.89
2024-05-17,Ben Tre,2.66
2024-05-18,Ben Tre,2.21
2024-05-19,Ben Tre,2.23
2024-05-20,Ben Tre,2.53
2024-05-21,Ben Tre,2.07
2024-05-22,Ben Tre,2.09
2024-05-23,Ben Tre,2.3
2024-05-24,Ben Tre,1.84
2024-05-25,Ben Tre,1.57
2024-05-26,Ben Tre,1.85
2024-05-27,Ben Tre,2.16
2024-05-28,Ben Tre,1.64
2024-05-29,Ben Tre,1.8
2024-05-30,Ben Tre,1.37
2024-05-31,Ben Tre,1.61
2024-06-01,Ben Tre,1.79
2024-06-02,Ben Tre,1.6
2024-06-03,Ben Tre,1.46
2024-06-04,Ben Tre,1.28
2024-06-05,Ben Tre,1.38
2024-06-06,Ben Tre,1.16
2024-06-07,Ben Tre,1.07
2024-06-08,Ben Tre,1.43
2024-06-09,Ben Tre,0.82
2024-06-10,Ben Tre,0.79
2024-06-11,Ben Tre,0.84
2024-06-12,Ben Tre,0.67
2024-06-13,Ben Tre,0.43
2024-06-14,Ben Tre,1.33
2024-06-15,Ben Tre,0.59
2024-06-16,Ben Tre,0.99
2024-06-17,Ben Tre,0.71
2024-06-18,Ben Tre,0.82
2024-06-19,Ben Tre,0.94
2024-06-20,Ben Tre,0.84
2024-06-21,Ben Tre,0.62
2024-06-22,Ben Tre,0.75
2024-06-23,Ben Tre,1.03
2024-06-24,Ben Tre,1.38
2024-06-25,Ben Tre,1.38
2024-06-26,Ben Tre,1.05
2024-06-27,Ben Tre,1.18
2024-06-28,Ben Tre,0.96
2024-06-29,Ben Tre,1.42
2024-06-30,Ben Tre,0.94
2024-07-01,Ben Tre,0.96
2024-07-02,Ben Tre,0.55
2024-07-03,Ben Tre,0.77
2024-07-04,Ben Tre,1.2
2024-07-05,Ben Tre,0.86
2024-07-06,Ben Tre,0.47
2024-07-07,Ben Tre,1.09
2024-07-08,Ben Tre,1.23
2024-07-09,Ben Tre,1.09
2024-07-10,Ben Tre,0.8
2024-07-11,Ben Tre,0.78
2024-07-12,Ben Tre,0.65
2024-07-13,Ben Tre,0.54
2024-07-14,Ben Tre,1.05
2024-07-15,Ben Tre,0.69
2024-07-16,Ben Tre,1.35
2024-07-17,Ben Tre,1.08
2024-07-18,Ben Tre,0.97
2024-07-19,Ben Tre,1.23
2024-07-20,Ben Tre,1.01
2024-07-21,Ben Tre,1.11
2024-07-22,Ben Tre,1.0
2024-07-23,Ben Tre,0.81
2024-07-24,Ben Tre,1.11
2024-07-25,Ben Tre,0.76
2024-07-26,Ben Tre,0.87
2024-07-27,Ben Tre,0.97
2024-07-28,Ben Tre,0.44
2024-07-29,Ben Tre,1.13
2024-07-30,Ben Tre,0.87
2024-07-31,Ben Tre,1.28
2024-08-01,Ben Tre,0.75
2024-08-02,Ben Tre,0.86
2024-08-03,Ben Tre,0.37
2024-08-04,Ben Tre,1.39
2024-08-05,Ben Tre,0.95
2024-08-06,Ben Tre,0.59
2024-08-07,Ben Tre,0.64
2024-08-08,Ben Tre,0.97
2024-08-09,Ben Tre,0.74
2024-08-10,Ben Tre,0.84
2024-08-11,Ben Tre,0.96
2024-08-12,Ben Tre,1.06
2024-08-13,Ben Tre,0.75
2024-08-14,Ben Tre,0.78
2024-08-15,Ben Tre,0.44
2024-08-16,Ben Tre,1.32
2024-08-17,Ben Tre,0.98
2024-08-18,Ben Tre,1.21
2024-08-19,Ben Tre,0.6
2024-08-20,Ben Tre,0.66
2024-08-21,Ben Tre,0.81
2024-08-22,Ben Tre,0.94
2024-08-23,Ben Tre,0.66
2024-08-24,Ben Tre,0.72
2024-08-25,Ben Tre,0.55
2024-08-26,Ben Tre,0.56
2024-08-27,Ben Tre,0.8
2024-08-28,Ben Tre,0.56
2024-08-29,Ben Tre,0.82
2024-08-30,Ben Tre,1.13
2024-08-31,Ben Tre,0.76
2024-09-01,Ben Tre,1.05
2024-09-02,Ben Tre,0.38
2024-09-03,Ben Tre,0.8
2024-09-04,Ben Tre,0.99
2024-09-05,Ben Tre,0.86
2024-09-06,Ben Tre,0.9
2024-09-07,Ben Tre,1.04
2024-09-08,Ben Tre,1.41
2024-09-09,Ben Tre,1.04
2024-09-10,Ben Tre,1.0
2024-09-11,Ben Tre,0.58
2024-09-12,Ben Tre,0.95
2024-09-13,Ben Tre,0.92
2024-09-14,Ben Tre,1.37
2024-09-15,Ben Tre,0.97
2024-09-16,Ben Tre,0.84
2024-09-17,Ben Tre,1.13
2024-09-18,Ben Tre,0.75
2024-09-19,Ben Tre,1.19
2024-09-20,Ben Tre,0.81
2024-09-21,Ben Tre,0.85
2024-09-22,Ben Tre,1.33
2024-09-23,Ben Tre,0.83
2024-09-24,Ben Tre,0.91
2024-09-25,Ben Tre,1.25
2024-09-26,Ben Tre,1.08
2024-09-27,Ben Tre,0.8
2024-09-28,Ben Tre,0.31
2024-09-29,Ben Tre,0.95
2024-09-30,Ben Tre,1.09
2024-10-01,Ben Tre,0.64
2024-10-02,Ben Tre,0.92
2024-10-03,Ben Tre,0.84
2024-10-04,Ben Tre,0.84
2024-10-05,Ben Tre,1.13
2024-10-06,Ben Tre,0.91
2024-10-07,Ben Tre,1.4
2024-10-08,Ben Tre,0.61
2024-10-09,Ben Tre,0.82
2024-10-10,Ben Tre,0.84
2024-10-11,Ben Tre,0.51
2024-10-12,Ben Tre,0.68
2024-10-13,Ben Tre,1.05
2024-10-14,Ben Tre,0.81
2024-10-15,Ben Tre,0.99
2024-10-16,Ben Tre,0.73
2024-10-17,Ben Tre,1.06
2024-10-18,Ben Tre,0.84
2024-10-19,Ben Tre,1.11
2024-10-20,Ben Tre,0.74
2024-10-21,Ben Tre,1.26
2024-10-22,Ben Tre,0.91
2024-10-23,Ben Tre,0.99
2024-10-24,Ben Tre,0.41
2024-10-25,Ben Tre,1.19
2024-10-26,Ben Tre,0.81
2024-10-27,Ben Tre,0.93
2024-10-28,Ben Tre,0.89
2024-10-29,Ben Tre,0.9
2024-10-30,Ben Tre,0.69
2024-10-31,Ben Tre,0.83
2024-11-01,Ben Tre,0.79
2024-11-02,Ben Tre,1.18
2024-11-03,Ben Tre,0.79
2024-11-04,Ben Tre,1.07
2024-11-05,Ben Tre,1.06
2024-11-06,Ben Tre,0.98
2024-11-07,Ben Tre,0.66
2024-11-08,Ben Tre,0.98
2024-11-09,Ben Tre,1.02
2024-11-10,Ben Tre,0.54
2024-11-11,Ben Tre,1.12
2024-11-12,Ben Tre,1.21
2024-11-13,Ben Tre,0.91
2024-11-14,Ben Tre,0.66
2024-11-15,Ben Tre,1.18
2024-11-16,Ben Tre,0.96
2024-11-17,Ben Tre,0.96
2024-11-18,Ben Tre,0.81
2024-11-19,Ben Tre,0.96
2024-11-20,Ben Tre,0.77
2024-11-21,Ben Tre,1.4
2024-11-22,Ben Tre,0.52
2024-11-23,Ben Tre,1.49
2024-11-24,Ben Tre,1.67
2024-11-25,Ben Tre,1.38
2024-11-26,Ben Tre,1.34
2024-11-27,Ben Tre,1.47
2024-11-28,Ben Tre,1.88
2024-11-29,Ben Tre,1.83
2024-11-30,Ben Tre,1.86
2024-12-01,Ben Tre,1.98
2024-12-02,Ben Tre,1.08
2024-12-03,Ben Tre,1.88
2024-12-04,Ben Tre,2.1
2024-12-05,Ben Tre,2.19
2024-12-06,Ben Tre,2.22
2024-12-07,Ben Tre,2.57
2024-12-08,Ben Tre,2.68
2024-12-09,Ben Tre,2.4
2024-12-10,Ben Tre,2.54
2024-12-11,Ben Tre,2.63
2024-12-12,Ben Tre,2.13
2024-12-13,Ben Tre,2.49
2024-12-14,Ben Tre,2.55
2024-12-15,Ben Tre,2.5
2024-12-16,Ben Tre,2.75
2024-12-17,Ben Tre,2.76
2024-12-18,Ben Tre,3.29
2024-12-19,Ben Tre,3.64
2024-12-20,Ben Tre,3.12
2024-12-21,Ben Tre,2.96
2024-12-22,Ben Tre,3.32
2024-12-23,Ben Tre,3.32
2024-12-24,Ben Tre,3.07
2024-12-25,Ben Tre,3.48
2024-12-26,Ben Tre,3.46
2024-12-27,Ben Tre,3.07
2024-12-28,Ben Tre,3.46
2024-12-29,Ben Tre,3.81
2024-12-30,Ben Tre,3.54
2024-01-01,Ca Mau,4.81
2024-01-02,Ca Mau,4.83
2024-01-03,Ca Mau,4.59
2024-01-04,Ca Mau,4.78
2024-01-05,Ca Mau,5.52
2024-01-06,Ca Mau,5.14
2024-01-07,Ca Mau,5.4
2024-01-08,Ca Mau,5.61
2024-01-09,Ca Mau,5.21
2024-01-10,Ca Mau,5.18
2024-01-11,Ca Mau,5.45
2024-01-12,Ca Mau,5.33
2024-01-13,Ca Mau,6.06
2024-01-14,Ca Mau,5.54
2024-01-15,Ca Mau,5.47
2024-01-16,Ca Mau,5.38
2024-01-17,Ca Mau,5.92
2024-01-18,Ca Mau,5.93
2024-01-19,Ca Mau,6.02
2024-01-20,Ca Mau,6.12
2024-01-21,Ca Mau,6.2
2024-01-22,Ca Mau,6.21
2024-01-23,Ca Mau,5.84
2024-01-24,Ca Mau,6.37
2024-01-25,Ca Mau,6.33
